ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,addToList,505,KILLED,com.squareup.protoparser.ProtoParserTest.structuredOption(com.squareup.protoparser.ProtoParserTest)
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,column,939,KILLED,com.squareup.protoparser.ProtoParserTest.syntaxInWrongContextThrows(com.squareup.protoparser.ProtoParserTest)
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,column,939,KILLED,com.squareup.protoparser.ProtoParserTest.invalidSyntaxValueThrows(com.squareup.protoparser.ProtoParserTest)
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,column,939,KILLED,com.squareup.protoparser.ProtoParserTest.invalidSyntaxValueThrows(com.squareup.protoparser.ProtoParserTest)
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,hexDigit,655,KILLED,com.squareup.protoparser.ProtoParserTest.optionNumericalBounds(com.squareup.protoparser.ProtoParserTest)
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,hexDigit,655,SURVIVED,none
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,hexDigit,656,SURVIVED,none
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,hexDigit,656,SURVIVED,none
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,hexDigit,657,SURVIVED,none
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,hexDigit,657,SURVIVED,none
